h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412d85ffffffff,50000,1.098714893802098,0.7770462035429012,1.2183462035429011,0.6357569790948344,1.0770569790948343,0.0587,1.054432627823302,0.2046822810096295,1.189870582554699,2x Siemens SGT-800,4.0,48.78238334672553,-118.0167462706792
8412d85ffffffff,750000,1.098714893802098,0.7770462035429012,1.2183462035429011,0.6357569790948344,1.0770569790948343,0.0587,1.0544326278233018,0.1552416854911366,1.1549430495973825,3x GE 7HA.02,4.05,48.78238334672553,-118.0167462706792
8412d87ffffffff,24000,1.0979440428324625,,,0.797269218904754,1.243220074941635,0.0587,1.0551313013181332,0.2223945304201165,1.2082745187250683,1x Siemens SGT-A45,4.05,48.522649189765886,-117.61579537910067
8412d87ffffffff,50000,1.0979440428324625,,,0.797269218904754,1.243220074941635,0.0587,1.0551313013181334,0.2030791129278638,1.1889591012328156,2x Siemens SGT-800,4.05,48.522649189765886,-117.61579537910067
8412d87ffffffff,750000,1.0979440428324625,,,0.797269218904754,1.243220074941635,0.0587,1.0551313013181327,0.1542764190109634,1.1546796592928648,3x GE 7HA.02,4.05,48.522649189765886,-117.61579537910067
8412d8bffffffff,24000,1.0979229380878226,,,1.021245150343386,1.462545150343386,0.0725,1.0690898376889444,0.1767224714048351,1.1626214107168906,1x Siemens SGT-A45,4.0,48.98459205902086,-116.8803211708337
8412d8bffffffff,50000,1.0979229380878226,,,1.021245150343386,1.462545150343386,0.0725,1.0690898376889448,0.157532842198896,1.1434317815109514,2x Siemens SGT-A45,4.0,48.98459205902086,-116.8803211708337
8412d8bffffffff,750000,1.0979229380878226,,,1.021245150343386,1.462545150343386,0.0725,1.0690898376889448,0.1218334440446919,1.1222559145058622,3x GE 7HA.02,4.05,48.98459205902086,-116.8803211708337
8412d91ffffffff,24000,1.0979414770593916,0.7308282625967211,1.172128262596721,0.5766428604482258,1.0179428604482257,0.0615,1.057961911315333,0.176720895500819,1.162603187702998,1x Siemens SGT-A45,4.05,48.445311976615336,-116.02963793834527
8412d91ffffffff,50000,1.0979414770593916,0.7308282625967211,1.172128262596721,0.5766428604482258,1.0179428604482257,0.0615,1.0579619113153331,0.1575317004501614,1.1434139926523412,2x Siemens SGT-800,4.05,48.445311976615336,-116.02963793834527
