h3_index,latitude,longitude,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,gas_price,state,facility_load_mw,gpu_count
8444f3bffffffff,31.346092930914,-81.98322947146,1.141838355082931,0.3690076474277715,0.8103076474277715,0.2475681644486528,0.6888681644486528,0.0541,0.7360815800205545,0.1314338363833166,0.8060546006036655,2× GE 6F.03 CC,3.0,4.86,Georgia,127.3863414889395,100000
8444f41ffffffff,29.236453264540653,-82.13753341500505,1.1540772313976464,0.2881710636288122,0.7294710636288122,0.2370112034857735,0.6783112034857736,0.0809,0.7559257342517541,0.1443245153851024,0.8117909922943392,2× GE 6F.03 CC,3.0,6.5,Florida,128.75174112779993,100000
8444f43ffffffff,29.60656173475349,-82.32741385080938,1.1519228713422376,0.3118516936173061,0.7531516936173062,0.2544458421379811,0.6957458421379812,0.0809,0.7571866589475601,0.1444977974064772,0.8132125897645618,2× GE 6F.03 CC,3.0,6.5,Florida,128.5113953341184,100000
8444f45ffffffff,29.20144668910291,-81.71037880256621,1.1527815128922736,0.2623287245719993,0.7036287245719994,0.221672148557154,0.662972148557154,0.0809,0.7566835400468569,0.1444286595787272,0.8126453642251156,2× GE 6F.03 CC,3.0,6.5,Florida,128.6071875320443,100000
8444f47ffffffff,29.571075227824352,-81.89768107580151,1.153083705578686,0.3159264339967882,0.7572264339967882,0.2563016659136802,0.6976016659136803,0.0809,0.7565066492460442,0.1444043505802914,0.8124459333338752,2× GE 6F.03 CC,3.0,6.5,Florida,128.64090090362217,100000
8444f49ffffffff,28.900174117854903,-82.37669460062068,1.1551782018824786,0.3148642424617128,0.7561642424617128,0.2650896830584169,0.706389683058417,0.0809,0.7552831634979414,0.1442362009384496,0.8110665328014117,2× GE 6F.03 CC,3.0,6.5,Florida,128.87456814751403,100000
8444f4bffffffff,29.270288631016086,-82.56739948483956,1.1521383315247726,0.2965788961796722,0.7378788961796723,0.2313266138892926,0.6726266138892927,0.0809,0.7570603401062946,0.1444804391975601,0.8130701759027918,2× GE 6F.03 CC,3.0,6.5,Florida,128.53543261073244,100000
8444f4dffffffff,28.86681396917979,-81.9493944344811,1.1548274598557542,0.2871312597290188,0.7284312597290188,0.2401854621011844,0.6814854621011844,0.0809,0.7554877376956481,0.1442643178732371,0.8112971781919287,2× GE 6F.03 CC,3.0,6.5,Florida,128.83543849015757,100000
8444f51ffffffff,30.01181788379364,-82.95411289012155,1.1500653014067617,0.3387150290223235,0.7800150290223236,0.2836731825983838,0.7249731825983838,0.0809,0.7582776681365826,0.1443773140762028,0.8141722055314196,2× GE 6F.03 CC,3.0,6.5,Florida,128.30416018819184,100000
8444f53ffffffff,30.383145881245024,-83.15016183291296,1.1457684249706623,0.3297828448544252,0.7710828448544254,0.2721878081672742,0.7134878081672742,0.0809,0.76081491457426,0.1447248609600333,0.8170316263885508,2× GE 6F.03 CC,3.0,6.5,Florida,127.82478991078952,100000
